Address,Amount
0x6fb21fe2ee17559693bb61df8144d074d13a9cf5,3
0x23d86425dc90ca01d84216ae8f87d61e6c6327e5,8
0x13fec67da1cc769fe7293ceeb7a5a483424d0d17,1
0x50a9be97ea8cfb0f5a92312b4b966a469bc2ab7b,7
0x00961fa5eddbebc48a19a39d9ea6ef42ed62b40c,5
0xded86db976fc9ae590b75d52b53212f586a45db2,1
0xb524f622df1eca8f947910c83167246e723d11f1,3
0xe8fdb0e8e315e1a92cfee49dc4620130eeb0cac8,1
0xc8a3040b62fcf8e47c34d560f09715fb2ad5e4d5,6
0xb39f5c87e06c201a03a8b1bf9641217c31d8de57,5
0x0c4ab4bdb6dce11e314519f2ce0ff24b59a4e3f4,2
0x3ea3801006cb96d19555cb0dc428f8e41dd187ea,5
0xd537413a3651fe87443526c38977b9ce86448696,3
0xd116ec51ced0a7a49bea6555f90872752448d8bc,1
0x05c7ed1d0bcd1c9006c1c2492243d96d7f8fa0d4,1
0x548d9422e865cf782c6485d175f3b9ad4d34643c,26
0x24db8a0a16da2812b55af4d0f3a8ada8a68a330f,1
0x12d4182b4125fcd4251302c034613daaada66396,1
0x8f0dc000d3d4cec7e8233cfea94c5324126eb5ab,6
0x0c1e99991dd2f7d374bff13f9f52284ce6cfdae5,7
0xd522cd8cc56badbd1e9a84a9f726dc87667ad73a,6
0x6001d26436986706ff19c35478f97e0c43846470,2
0xe4386e93bff9be5d4768a1f92d22c75129851c48,3
0x2e36772c103b32d63aab7063a57b1d7e6836aa9c,3
0x69521a13ccb3c872b10a32c26f57982ae6db4fd5,2
0xaafc963ef7d053154e7ff693dd8cbde67999ccd7,1
0x4d42b6e1f84b449789ced226f36f25e3caf892db,2
0x579689e7e25e49d85b60ad3b6ee6fbfb4bac0229,1
0x5e1416e0ec35b47a6b7687c5e783e9b98a83dd45,7
0x15b3392708755a9f7aac3b33b401d7efa3d52f38,7
0x81db2dfd33b24419f0f715e331f678411eb1ec30,7
0xb1c554ab27227378896a119ccc45f9ef092c50cb,1
0x9eeb25e6c03220b3d03da2f360d61774ef0772fc,7
0x16a3c4ab0db726bee89ad1b563b3eef21c4c0406,1
0x4dc9b50f241644147e32e2ad8b8604d00eb91b40,3
0x5cac7b9236dbb25e040442f5c7839cc4346015af,11
0x96508cde0bceaab2bd439a678e8239833ee240cd,2
